sample,age,sex,height(cm),weight(kg)
1,21-30,female,150-160,40-50
2,21-30,male,170-180,80-90
3,21-30,female,160-170,40-50
4,21-30,male,160-170,50-60
5,21-30,male,160-170,50-60
6,21-30,male,170-180,50-60
7,21-30,male,160-170,50-60
8,21-30,female,160-170,50-60
9,21-30,female,160-170,50-60
10,21-30,male,170-180,60-70
11,21-30,male,170-180,60-70
12,21-30,female,170-180,50-60
13,21-30,female,170-180,60-70
14,21-30,female,160-170,50-60
15,21-30,female,160-170,50-60
16,21-30,female,150-160,40-50
17,21-30,male,180-190,60-70
18,21-30,female,160-170,50-60
19,21-30,female,150-160,40-50
20,21-30,female,160-170,50-60
21,21-30,female,150-160,60-70
22,21-30,male,170-180,60-70
23,21-30,female,160-170,60-70
